# Rest-frame spectrum generated from: M106A0003o_1d.fits
# lambda_Ha_obs = 6570.33200000 Angstrom
# lambda_Ha_rest = 6562.80000000 Angstrom
# z_Ha = 1.1476808679e-03
# v_Ha_relativistic = 343.868630 km/s
# v_Ha_classical = 344.066068 km/s
# columns: wavelength_rest[Angstrom] flux_or_counts

6548.79120653 -1.89711456e+01
6548.84682073 -1.89779320e+01
6548.90243493 -1.89709969e+01
6548.95804913 -1.89714317e+01
6549.01366334 -1.89714966e+01
6549.06927754 -1.89706306e+01
6549.12489174 -1.89779167e+01
6549.18050594 -1.89706116e+01
6549.23612014 -1.85580673e+01
6549.29173434 -1.27180672e+01
6549.34734854 3.31696701e+00
6549.40296274 3.32382584e+00
6549.45857695 -2.90303802e+00
6549.51419115 2.76274872e+00
6549.56980535 3.93333435e-01
6549.62541955 2.93113708e+01
6549.68103375 5.20601349e+01
6549.73664795 -2.02886047e+01
6549.79226215 -1.23538589e+01
6549.84787635 1.12443314e+01
6549.90349056 5.33410416e+01
6549.95910476 5.98976593e+01
6550.01471896 1.67030106e+01
6550.07033316 2.75080070e+01
6550.12594736 1.40760727e+01
6550.18156156 -2.48892899e+01
6550.23717576 -6.98194504e+00
6550.29278996 2.45531883e+01
6550.34840417 7.94384003e+00
6550.40401837 -1.25337219e+01
6550.45963257 1.41463776e+01
6550.51524677 7.65314865e+00
6550.57086097 3.05944214e+01
6550.62647517 4.58050156e+01
6550.68208937 5.02491341e+01
6550.73770357 6.23292007e+01
6550.79331778 2.23160210e+01
6550.84893198 4.91643181e+01
6550.90454618 2.76026535e+00
6550.96016038 -8.44334030e+00
6551.01577458 3.35466766e+00
6551.07138878 -2.75406647e+00
6551.12700298 1.30476570e+01
6551.18261718 1.40494156e+00
6551.23823139 2.63121223e+01
6551.29384559 -2.04407616e+01
6551.34945979 5.25002289e+00
6551.40507399 -9.18121338e-01
6551.46068819 -2.79341965e+01
6551.51630239 -3.16819763e+00
6551.57191659 -5.87081909e+00
6551.62753079 4.91319275e+00
6551.68314500 2.85164719e+01
6551.73875920 2.37061691e+01
6551.79437340 -1.05534363e+00
6551.84998760 -2.16733932e+00
6551.90560180 -1.17599945e+01
6551.96121600 4.97260933e+01
6552.01683020 6.04118156e+01
6552.07244440 1.44710464e+01
6552.12805861 6.44553833e+01
6552.18367281 1.77001419e+01
6552.23928701 1.91165047e+01
6552.29490121 9.51717377e+00
6552.35051541 8.23915100e+00
6552.40612961 -1.04780807e+01
6552.46174381 -2.74705620e+01
6552.51735801 1.51894035e+01
6552.57297222 -2.24717102e+01
6552.62858642 7.13728409e+01
6552.68420062 5.10827713e+01
6552.73981482 2.20231934e+01
6552.79542902 1.37163773e+01
6552.85104322 -1.84247513e+01
6552.90665742 -1.43247223e+00
6552.96227162 1.27040329e+01
6553.01788583 2.15372505e+01
6553.07350003 2.94487419e+01
6553.12911423 -1.50840816e+01
6553.18472843 5.57876587e+00
6553.24034263 7.76285553e+00
6553.29595683 5.83803749e+01
6553.35157103 -2.76908875e-01
6553.40718523 2.08098297e+01
6553.46279944 5.31829605e+01
6553.51841364 4.82485657e+01
6553.57402784 -2.46810036e+01
6553.62964204 1.51808090e+01
6553.68525624 -5.26282883e+00
6553.74087044 -4.20845032e+00
6553.79648464 2.89959564e+01
6553.85209885 1.35610962e+01
6553.90771305 1.96391830e+01
6553.96332725 2.56885681e+01
6554.01894145 3.93026962e+01
6554.07455565 6.86793900e+01
6554.13016985 7.92986298e+00
6554.18578405 1.72276077e+01
6554.24139825 3.07545547e+01
6554.29701246 3.12481689e+01
6554.35262666 1.10643387e+01
6554.40824086 1.56639023e+01
6554.46385506 3.79272079e+01
6554.51946926 9.72804260e+00
6554.57508346 1.21688614e+01
6554.63069766 -5.19263458e+00
6554.68631186 8.66716766e+00
6554.74192607 -6.45735931e+00
6554.79754027 1.45459824e+01
6554.85315447 3.48475037e+01
6554.90876867 4.48583984e+00
6554.96438287 -7.03681946e+00
6555.01999707 -2.74937820e+01
6555.07561127 6.80206299e-01
6555.13122547 2.63246155e+01
6555.18683968 3.46063232e+00
6555.24245388 4.78734283e+01
6555.29806808 2.66480484e+01
6555.35368228 6.39770508e+01
6555.40929648 3.06519699e+01
6555.46491068 1.79019279e+01
6555.52052488 2.80564384e+01
6555.57613908 4.58829918e+01
6555.63175329 7.55946045e+01
6555.68736749 2.84477921e+01
6555.74298169 5.29669189e+00
6555.79859589 3.57963943e+01
6555.85421009 -1.85593414e+00
6555.90982429 4.37810173e+01
6555.96543849 5.20431404e+01
6556.02105269 -2.80112381e+01
6556.07666690 -3.01918030e-01
6556.13228110 -3.00442047e+01
6556.18789530 2.52578812e+01
6556.24350950 -2.37777710e-01
6556.29912370 3.05111351e+01
6556.35473790 6.34067268e+01
6556.41035210 3.68787498e+01
6556.46596630 2.36591339e+01
6556.52158051 -1.88541298e+01
6556.57719471 2.85802269e+01
6556.63280891 -3.53560638e+00
6556.68842311 -1.12390442e+01
6556.74403731 3.00762634e+01
6556.79965151 1.68928604e+01
6556.85526571 1.03255615e+01
6556.91087991 4.13492508e+01
6556.96649412 9.30672455e+00
6557.02210832 2.31529160e+01
6557.07772252 3.19807129e+01
6557.13333672 -2.38208504e+01
6557.18895092 2.22239532e+01
6557.24456512 1.58703117e+01
6557.30017932 1.69574928e+01
6557.35579352 1.05551872e+01
6557.41140773 5.59832344e+01
6557.46702193 4.03180504e+01
6557.52263613 1.45742569e+01
6557.57825033 3.21454353e+01
6557.63386453 5.26287193e+01
6557.68947873 -9.11764526e+00
6557.74509293 2.91100311e+01
6557.80070713 2.56750946e+01
6557.85632134 4.97238159e-01
6557.91193554 4.46957359e+01
6557.96754974 1.13533134e+01
6558.02316394 4.42864113e+01
6558.07877814 8.09690857e+00
6558.13439234 4.30099144e+01
6558.19000654 4.44291191e+01
6558.24562074 -1.56434631e+00
6558.30123495 2.46323090e+01
6558.35684915 8.63641357e+00
6558.41246335 2.57275581e+01
6558.46807755 3.70192528e+01
6558.52369175 9.56092834e+00
6558.57930595 2.87247086e+00
6558.63492015 -1.37410660e+01
6558.69053435 3.20634880e+01
6558.74614856 1.49664993e+01
6558.80176276 7.75767517e+00
6558.85737696 5.42233391e+01
6558.91299116 3.04642105e+00
6558.96860536 3.08087120e+01
6559.02421956 2.46569672e+01
6559.07983376 6.19436646e+01
6559.13544796 -1.24129524e+01
6559.19106217 3.21554947e+00
6559.24667637 2.05848312e+00
6559.30229057 5.88924408e+00
6559.35790477 2.13889008e+01
6559.41351897 8.02082825e+00
6559.46913317 3.57837677e+00
6559.52474737 3.71326447e+01
6559.58036157 -9.08157349e-01
6559.63597578 2.47096901e+01
6559.69158998 3.90370941e+01
6559.74720418 3.61971664e+00
6559.80281838 2.96241570e+01
6559.85843258 5.61134338e+01
6559.91404678 3.95531921e+01
6559.96966098 -6.60799408e+00
6560.02527518 5.27918320e+01
6560.08088939 4.28124161e+01
6560.13650359 1.86799469e+01
6560.19211779 1.32892151e+01
6560.24773199 3.41396561e+01
6560.30334619 2.23119431e+01
6560.35896039 2.99928589e+01
6560.41457459 5.56653519e+01
6560.47018879 7.42880249e+01
6560.52580300 5.49850159e+01
6560.58141720 8.64890823e+01
6560.63703140 8.12793808e+01
6560.69264560 1.15547409e+02
6560.74825980 4.41733475e+01
6560.80387400 6.12654915e+01
6560.85948820 7.18688889e+01
6560.91510240 9.47775726e+01
6560.97071661 1.21985008e+02
6561.02633081 6.47974548e+01
6561.08194501 9.24315109e+01
6561.13755921 1.55642456e+02
6561.19317341 1.61488953e+02
6561.24878761 2.43944244e+02
6561.30440181 2.17605927e+02
6561.36001601 2.80182495e+02
6561.41563022 2.40240448e+02
6561.47124442 3.36135864e+02
6561.52685862 3.62966614e+02
6561.58247282 3.96799622e+02
6561.63808702 4.58546112e+02
6561.69370122 5.53436646e+02
6561.74931542 6.00069397e+02
6561.80492963 6.61712891e+02
6561.86054383 7.72441467e+02
6561.91615803 8.00041748e+02
6561.97177223 8.91834595e+02
6562.02738643 1.07406067e+03
6562.08300063 1.07706812e+03
6562.13861483 1.20634363e+03
6562.19422903 1.40932678e+03
6562.24984324 1.45439734e+03
6562.30545744 1.48402441e+03
6562.36107164 1.77614014e+03
6562.41668584 1.87505640e+03
6562.47230004 1.98741565e+03
6562.52791424 2.19493677e+03
6562.58352844 2.39639038e+03
6562.63914264 2.49852832e+03
6562.69475685 2.78404639e+03
6562.75037105 2.81653735e+03
6562.80598525 2.93956372e+03
6562.86159945 3.01035986e+03
6562.91721365 3.09213794e+03
6562.97282785 3.00713794e+03
6563.02844205 2.89821826e+03
6563.08405625 2.83713013e+03
6563.13967046 2.59847900e+03
6563.19528466 2.33645215e+03
6563.25089886 2.04001245e+03
6563.30651306 1.79653235e+03
6563.36212726 1.59155579e+03
6563.41774146 1.27615674e+03
6563.47335566 1.10953430e+03
6563.52896986 9.59409424e+02
6563.58458407 7.86122498e+02
6563.64019827 6.24538940e+02
6563.69581247 5.96765015e+02
6563.75142667 4.75164368e+02
6563.80704087 3.37799377e+02
6563.86265507 2.94201569e+02
6563.91826927 2.53112701e+02
6563.97388347 2.46497971e+02
6564.02949768 1.59236877e+02
6564.08511188 1.09222183e+02
6564.14072608 1.16983810e+02
6564.19634028 1.34110046e+02
6564.25195448 9.05665436e+01
6564.30756868 4.77681885e+01
6564.36318288 9.20049744e+01
6564.41879708 5.71865540e+01
6564.47441129 1.06130402e+02
6564.53002549 -1.33829994e+01
6564.58563969 2.16628647e+01
6564.64125389 3.52935181e+01
6564.69686809 5.35104828e+01
6564.75248229 4.54636421e+01
6564.80809649 1.19145126e+01
6564.86371069 6.55888214e+01
6564.91932490 4.27732277e+01
6564.97493910 5.96674118e+01
6565.03055330 2.12214661e+01
6565.08616750 3.62033005e+01
6565.14178170 3.03180237e+01
6565.19739590 2.30986443e+01
6565.25301010 1.15181847e+01
6565.30862430 1.16858368e+01
6565.36423851 3.21772537e+01
6565.41985271 2.40729523e+00
6565.47546691 -3.48352051e+00
6565.53108111 3.49131546e+01
6565.58669531 2.82745361e-02
