label,center_G(A),sigma_G(A),FWHM_G(A),e_FWHM_G(A),chi2nu_G,center_GH(A),sigma_GH(A),h3,h4,FWHM_GH(A),e_FWHM_GH(A),chi2nu_GH,sigma_noise
N5204A0001o_1d,6566.164,0.3351,0.7887,0.0137,1.010,6566.163,0.3359,-0.0522,0.0458,0.7402,0.0168,0.939,25.4170
N5204A0002o_1d,6566.124,0.3367,0.7926,0.0161,1.010,6566.124,0.3367,-0.0488,0.0159,0.7737,0.0226,0.993,24.5484
N5204A0003o_1d,6566.139,0.3491,0.8216,0.0136,1.010,6566.139,0.3487,-0.0015,-0.0078,0.8292,0.0178,1.014,18.4948
N5204A0004o_1d,6566.086,0.3209,0.7558,0.0165,1.010,6566.086,0.3223,-0.0481,0.0110,0.7463,0.0215,1.000,13.3741
