label,center_G(A),sigma_G(A),FWHM_G(A),e_FWHM_G(A),chi2nu_G,center_GH(A),sigma_GH(A),h3,h4,FWHM_GH(A),e_FWHM_GH(A),chi2nu_GH,sigma_noise
N7331A0001o_1d,6580.452,0.3624,0.8535,0.0074,1.096,6580.452,0.3644,-0.0139,0.0507,0.7996,0.0086,0.875,11.3789
N7331A0002o_1d,6580.429,0.3576,0.8419,0.0087,1.009,6580.429,0.3592,-0.0050,0.0596,0.7783,0.0102,0.789,14.6554
N7331A0003o_1d,6580.429,0.3550,0.8359,0.0084,1.010,6580.429,0.3573,-0.0187,0.0421,0.7937,0.0097,0.898,14.4351
N7331A0004o_1d,6580.425,0.3585,0.8442,0.0104,1.010,6580.425,0.3594,-0.0099,0.0284,0.8144,0.0131,0.984,17.6732
N7331A0005o_1d,6580.421,0.3556,0.8377,0.0137,1.009,6580.423,0.3564,-0.0416,0.0562,0.7755,0.0160,0.916,13.2513
