label,center_G(A),sigma_G(A),FWHM_G(A),e_FWHM_G(A),chi2nu_G,center_GH(A),sigma_GH(A),h3,h4,FWHM_GH(A),e_FWHM_GH(A),chi2nu_GH,sigma_noise
N7331B0001o_1d,6577.712,0.4612,1.0860,0.0202,1.009,6577.712,0.4609,0.0057,-0.0093,1.0983,0.0284,1.013,18.5938
N7331B0002o_1d,6577.709,0.4625,1.0894,0.0209,1.061,6577.707,0.4629,0.0180,0.0360,1.0370,0.0265,1.044,16.7829
N7331B0003o_1d,6577.712,0.4669,1.0998,0.0233,1.009,6577.710,0.4675,-0.0143,0.0321,1.0537,0.0321,1.000,20.0780
