label,center_G(A),sigma_G(A),FWHM_G(A),e_FWHM_G(A),chi2nu_G,center_GH(A),sigma_GH(A),h3,h4,FWHM_GH(A),e_FWHM_GH(A),chi2nu_GH,sigma_noise
N1073D0001o_1d,6588.463,0.3975,0.9362,0.0186,1.009,6588.463,0.3979,-0.0790,0.0097,0.9202,0.0248,0.972,16.5094
N1073D0002o_1d,6588.462,0.3855,0.9077,0.0234,0.961,6588.462,0.3870,-0.0942,0.0358,0.8617,0.0280,0.918,18.3612
N1073D0003o_1d,6588.461,0.4199,0.9894,0.0358,1.163,6588.459,0.4249,-0.1108,0.0700,0.8979,0.0401,1.103,19.9060
