label,center_G(A),sigma_G(A),FWHM_G(A),e_FWHM_G(A),chi2nu_G,center_GH(A),sigma_GH(A),h3,h4,FWHM_GH(A),e_FWHM_GH(A),chi2nu_GH,sigma_noise
N4414C0001o_1d,6569.374,0.4795,1.1299,0.0250,0.973,6569.375,0.4805,0.0029,0.0106,1.1160,0.0309,0.976,21.6855
N4414C0002o_1d,6569.377,0.5150,1.2107,0.0260,1.009,6569.377,0.5143,-0.0137,-0.0070,1.2209,0.0338,1.013,20.8097
N4414C0003o_1d,6569.412,0.5452,1.2821,0.0294,0.902,6569.411,0.5443,0.0113,-0.0158,1.3063,0.0383,0.904,23.4955
