label,center_G(A),sigma_G(A),FWHM_G(A),e_FWHM_G(A),chi2nu_G,center_GH(A),sigma_GH(A),h3,h4,FWHM_GH(A),e_FWHM_GH(A),chi2nu_GH,sigma_noise
N3370B0001o_1d,6593.566,0.5245,1.2347,0.0150,1.080,6593.564,0.5246,0.0595,0.0469,1.1544,0.0189,0.859,14.6556
N3370B0002o_1d,6593.630,0.5107,1.2028,0.0123,1.171,6593.630,0.5120,0.0318,0.0405,1.1396,0.0156,1.002,16.4252
N3370B0003o_1d,6593.634,0.5169,1.2175,0.0124,1.013,6593.634,0.5187,0.0194,0.0358,1.1631,0.0150,0.908,11.4520
