label,center_G(A),sigma_G(A),FWHM_G(A),e_FWHM_G(A),chi2nu_G,center_GH(A),sigma_GH(A),h3,h4,FWHM_GH(A),e_FWHM_GH(A),chi2nu_GH,sigma_noise
N7331B0001o_1d,6582.131,0.5151,1.2112,0.0291,1.059,6582.149,0.4764,-0.1847,0.0130,1.0690,0.0815,0.943,28.0062
N7331B0002o_1d,6582.180,0.4960,1.1658,0.0304,1.009,6582.192,0.4733,-0.1689,0.0403,1.0248,0.0499,0.870,26.2283
N7331B0003o_1d,6582.223,0.4359,1.0277,0.0262,1.009,6582.229,0.4261,-0.1828,0.0569,0.9014,0.0313,0.780,22.0420
N7331B0004o_1d,6582.214,0.4730,1.1147,0.0320,1.009,6582.221,0.4592,-0.0996,0.0433,1.0099,0.0495,0.960,24.0351
