label,center_G(A),sigma_G(A),FWHM_G(A),e_FWHM_G(A),chi2nu_G,center_GH(A),sigma_GH(A),h3,h4,FWHM_GH(A),e_FWHM_GH(A),chi2nu_GH,sigma_noise
N3370C0001o_1d,6588.531,0.4377,1.0294,0.0277,1.009,6588.531,0.4365,-0.0201,0.0457,0.9624,0.0376,0.996,15.3457
N3370C0002o_1d,6588.527,0.4298,1.0126,0.0286,1.009,6588.524,0.4365,-0.0560,0.0673,0.9346,0.0336,0.962,19.1973
N3370C0003o_1d,6588.477,0.4124,0.9713,0.0227,1.009,6588.475,0.4197,-0.0640,0.0826,0.8765,0.0224,0.882,15.3384
