label,center_G(A),sigma_G(A),FWHM_G(A),e_FWHM_G(A),chi2nu_G,center_GH(A),sigma_GH(A),h3,h4,FWHM_GH(A),e_FWHM_GH(A),chi2nu_GH,sigma_noise
N5584A0001o_1d,6596.856,0.4724,1.1136,0.0346,1.009,6596.853,0.4822,-0.0733,0.0897,0.9957,0.0341,0.923,17.0108
N5584A0002o_1d,6596.807,0.5257,1.2377,0.0278,1.009,6596.805,0.5318,-0.0220,0.0537,1.1612,0.0311,0.976,15.5143
N5584A0003o_1d,6596.842,0.5033,1.1860,0.0298,1.009,6596.841,0.5042,-0.0966,0.0880,1.0410,0.0323,0.843,16.6395
