label,center_G(A),sigma_G(A),FWHM_G(A),e_FWHM_G(A),chi2nu_G,center_GH(A),sigma_GH(A),h3,h4,FWHM_GH(A),e_FWHM_GH(A),chi2nu_GH,sigma_noise
N7331B0001o_1d,6575.653,0.4570,1.0758,0.0520,1.045,6575.683,0.5218,0.2465,0.1282,0.9726,0.0471,0.812,26.7669
N7331B0002o_1d,6575.566,0.4162,0.9816,0.0294,1.009,6575.570,0.4322,0.0846,0.0921,0.8888,0.0278,0.909,14.7117
