label,center_G(A),sigma_G(A),FWHM_G(A),e_FWHM_G(A),chi2nu_G,center_GH(A),sigma_GH(A),h3,h4,FWHM_GH(A),e_FWHM_GH(A),chi2nu_GH,sigma_noise
N1073X0001o_1d,6589.355,0.5303,1.2435,0.1131,1.009,6589.350,0.5193,0.0489,0.0385,1.1574,0.1846,1.012,26.0506
N1073X0002o_1d,6589.293,0.3069,0.7329,0.3415,1.007,6589.310,0.2753,-0.2529,0.2251,0.5795,0.3128,1.006,13.8164
N1073X0003o_1d,6589.390,0.4602,1.0829,0.0377,1.009,6589.386,0.4699,0.0263,0.0638,1.0100,0.0381,0.991,22.7190
N1073X0004o_1d,6589.394,0.4689,1.1042,0.0356,0.920,6589.394,0.4751,0.0263,0.0376,1.0637,0.0388,0.915,22.7149
N1073X0005o_1d,6589.395,0.4236,0.9982,0.0267,1.009,6589.396,0.4239,-0.0404,0.0459,0.9376,0.0332,0.989,21.8065
