label,center_G(A),sigma_G(A),FWHM_G(A),e_FWHM_G(A),chi2nu_G,center_GH(A),sigma_GH(A),h3,h4,FWHM_GH(A),e_FWHM_GH(A),chi2nu_GH,sigma_noise
N6822A0001o_1d,6561.376,0.3150,0.7418,0.0011,1.993,6561.376,0.3153,-0.0274,0.0088,0.7335,0.0014,0.879,44.8524
N6822A0002o_1d,6561.378,0.3087,0.7269,0.0010,1.950,6561.378,0.3091,-0.0231,0.0102,0.7177,0.0013,0.972,43.6256
N6822A0003o_1d,6561.374,0.3040,0.7158,0.0010,2.285,6561.374,0.3044,-0.0266,0.0104,0.7064,0.0013,1.057,42.5955
N6822B0001o_1d,6561.315,0.3002,0.7070,0.0002,6.545,6561.315,0.3003,0.0065,0.0058,0.7017,0.0003,3.747,21.0854
N6822B0002o_1d,6561.297,0.2955,0.6959,0.0002,6.863,6561.297,0.2956,0.0040,0.0079,0.6888,0.0003,3.268,20.7249
N6822B0003o_1d,6561.281,0.2933,0.6907,0.0002,29.032,6561.281,0.2937,-0.0041,0.0180,0.6750,0.0003,14.333,20.6330
