label,center_G(A),sigma_G(A),FWHM_G(A),e_FWHM_G(A),chi2nu_G,center_GH(A),sigma_GH(A),h3,h4,FWHM_GH(A),e_FWHM_GH(A),chi2nu_GH,sigma_noise
M66C0001o_1d,6578.375,0.4801,1.1308,0.0140,1.009,6578.375,0.4794,-0.0951,0.0347,1.0691,0.0172,0.800,21.2279
M66C0002o_1d,6578.380,0.4650,1.0939,0.0201,1.009,6578.380,0.4690,-0.0946,0.0619,1.0038,0.0224,0.835,18.0695
M66C0003o_1d,6576.281,0.5143,1.2057,0.1049,1.009,6576.276,0.5140,-0.1113,-0.1182,1.3173,0.2349,1.006,13.4160
M66C0004o_1d,6578.635,0.4381,1.0326,0.0608,1.009,6578.599,0.5017,-0.2417,0.0750,1.0034,0.0606,0.948,17.6013
